OrderID,ProductID,Quantity,UnitPrice,LineTotal
ORD-0000026,9551,1,78.47,78.47
ORD-0000026,3450,3,121.4,364.2
ORD-0000026,14067,3,25.69,77.07
ORD-0000026,2654,2,87.81,175.62
ORD-0000027,6761,2,85.84,171.68
ORD-0000027,14605,1,121.78,121.78
ORD-0000028,2209,1,129.88,129.88
ORD-0000028,6966,1,13.1,13.1
ORD-0000028,14682,1,96.65,96.65
ORD-0000028,6793,1,138.12,138.12
ORD-0000028,9590,2,35.16,70.32
ORD-0000029,10962,3,148.92,446.76
ORD-0000029,1499,1,96.22,96.22
ORD-0000030,13073,3,117.14,351.42
ORD-0000030,8390,1,119.61,119.61
ORD-0000030,1639,1,35.04,35.04
ORD-0000030,7578,1,138.94,138.94
ORD-0000030,10095,2,139.87,279.74
ORD-0000031,6377,3,68.12,204.36
ORD-0000032,10891,1,116.24,116.24
ORD-0000032,5622,2,10.94,21.88
ORD-0000032,1617,2,41.14,82.28
ORD-0000032,13556,2,93.62,187.24
ORD-0000033,9289,1,107.51,107.51
ORD-0000033,6393,2,130.53,261.06
ORD-0000033,6050,1,69.01,69.01
ORD-0000034,3300,1,20.48,20.48
ORD-0000034,10685,3,83.3,249.9
ORD-0000034,4260,3,13.63,40.89
ORD-0000034,8468,3,139.3,417.9
ORD-0000035,12192,1,24.23,24.23
ORD-0000036,12757,2,82.39,164.78
ORD-0000036,14288,1,106.57,106.57
ORD-0000036,14888,3,116.53,349.59
ORD-0000037,2259,3,89.63,268.89
ORD-0000038,5856,3,29.06,87.18
ORD-0000038,3854,3,100.93,302.79
ORD-0000038,10052,1,121.84,121.84
ORD-0000038,6572,1,17.03,17.03
ORD-0000039,6650,1,28.8,28.8
ORD-0000039,9144,2,25.55,51.1
ORD-0000039,6826,3,14.73,44.19
ORD-0000039,7306,2,149.8,299.6
ORD-0000040,3774,3,48.07,144.21
ORD-0000040,9115,3,54.23,162.69
ORD-0000040,7573,2,114.92,229.84
ORD-0000040,10559,1,90.32,90.32
ORD-0000040,14447,2,134.57,269.14
ORD-0000041,10532,1,46.16,46.16
ORD-0000042,8079,1,93.73,93.73
ORD-0000042,7185,1,91.12,91.12
ORD-0000043,3820,1,58.03,58.03
ORD-0000044,395,2,139.22,278.44
ORD-0000044,1634,1,100.11,100.11
ORD-0000045,7430,3,23.5,70.5
ORD-0000045,8919,2,125.45,250.9
ORD-0000046,179,3,57.18,171.54
ORD-0000047,3857,2,125.47,250.94
ORD-0000047,14375,2,26.55,53.1
ORD-0000047,903,2,68.76,137.52
ORD-0000047,14987,1,60.26,60.26
ORD-0000047,2729,2,65.61,131.22
ORD-0000048,1187,1,49.99,49.99
ORD-0000048,6960,3,137.14,411.42
ORD-0000049,606,2,87.98,175.96
ORD-0000049,9773,2,91.25,182.5
ORD-0000049,8309,3,35.43,106.29
ORD-0000049,11263,2,76.09,152.18
ORD-0000050,5281,1,47.58,47.58
ORD-0000050,8713,3,61.35,184.05
ORD-0000050,2090,2,56.56,113.12
ORD-0000050,9960,3,135.94,407.82
ORD-0000050,5645,3,130.91,392.73
ORD-0000051,1352,3,146.1,438.3
ORD-0000052,3239,2,65.74,131.48
ORD-0000052,8345,1,75.76,75.76
ORD-0000052,7119,3,61.3,183.9
ORD-0000052,1348,3,13.6,40.8
ORD-0000053,7040,1,88.04,88.04
ORD-0000053,12148,1,48.09,48.09
ORD-0000054,6912,3,48.03,144.09
ORD-0000054,14691,2,91.27,182.54
ORD-0000054,6914,3,106.69,320.07
ORD-0000054,8934,2,48.02,96.04
ORD-0000054,2560,3,31.96,95.88
ORD-0000055,5615,1,133.74,133.74
ORD-0000055,13183,2,89.75,179.5
ORD-0000055,7863,2,120.05,240.1
ORD-0000055,7840,1,115.03,115.03
ORD-0000056,10886,1,97.53,97.53
ORD-0000056,9318,1,90.06,90.06
ORD-0000057,6452,1,28.69,28.69
ORD-0000058,323,2,81.47,162.94
ORD-0000058,14938,3,19.46,58.38
ORD-0000058,12277,2,143.27,286.54
ORD-0000058,7150,3,124.77,374.31
ORD-0000059,8150,1,88,88
ORD-0000059,3683,3,31.18,93.54
ORD-0000059,13438,1,132.51,132.51
ORD-0000059,10134,2,29.93,59.86
ORD-0000059,5602,2,57.54,115.08
ORD-0000060,8581,2,84.7,169.4
ORD-0000060,5428,1,61.92,61.92
ORD-0000060,2452,3,125.5,376.5
ORD-0000060,14608,3,14.53,43.59
ORD-0000060,9861,3,53.7,161.1
ORD-0000061,12574,3,38.05,114.15
ORD-0000061,2661,3,25.94,77.82
ORD-0000062,7405,3,18.09,54.27
ORD-0000063,10689,1,34.38,34.38
ORD-0000063,1333,3,47.93,143.79
ORD-0000063,4672,2,131.09,262.18
ORD-0000063,6168,3,70.03,210.09
ORD-0000063,10252,2,126.59,253.18
ORD-0000064,4095,3,55.8,167.4
ORD-0000064,8684,1,88.22,88.22
ORD-0000064,12310,3,140.03,420.09
ORD-0000064,12234,2,89.87,179.74
ORD-0000065,3199,3,44.06,132.18
ORD-0000065,13820,2,11.07,22.14
ORD-0000066,3248,2,105.82,211.64
ORD-0000066,11319,1,110.78,110.78
ORD-0000066,11759,1,124.05,124.05
ORD-0000067,11908,3,117.01,351.03
ORD-0000067,1918,2,23.96,47.92
ORD-0000067,5888,2,106.61,213.22
ORD-0000067,3447,1,53.24,53.24
ORD-0000067,12730,2,70.03,140.06
ORD-0000068,5106,2,100.72,201.44
ORD-0000068,12534,1,92.16,92.16
ORD-0000068,5107,3,83.31,249.93
ORD-0000068,6020,2,143.45,286.9
ORD-0000069,7416,2,70.15,140.3
ORD-0000069,6266,2,109.4,218.8
ORD-0000069,7751,1,145.67,145.67
ORD-0000069,2264,2,69.5,139
ORD-0000070,11246,1,58.68,58.68
ORD-0000070,7122,1,134.59,134.59
ORD-0000070,807,1,68.44,68.44
ORD-0000070,11303,2,101.86,203.72
ORD-0000071,7795,1,71.02,71.02
ORD-0000071,298,3,31.52,94.56
ORD-0000071,14078,3,35.17,105.51
ORD-0000072,3075,1,130.37,130.37
ORD-0000073,13993,1,107.6,107.6
ORD-0000073,13972,2,75.4,150.8
ORD-0000073,4831,1,78.84,78.84
ORD-0000074,6625,3,19.45,58.35
ORD-0000075,12562,3,88.21,264.63
ORD-0000076,3773,1,22.39,22.39
ORD-0000076,12169,2,112.2,224.4
ORD-0000076,13729,2,96.71,193.42
ORD-0000076,11903,1,19.8,19.8
ORD-0000076,13306,2,147.38,294.76
ORD-0000077,11741,1,77.38,77.38
ORD-0000078,14261,2,140.98,281.96
ORD-0000078,13612,3,144.11,432.33
ORD-0000078,5579,1,52.38,52.38
ORD-0000079,600,1,37.31,37.31
ORD-0000079,10315,2,92.74,185.48
ORD-0000079,13142,3,11.41,34.23
ORD-0000079,4630,1,73.49,73.49
ORD-0000080,5585,1,131.37,131.37
ORD-0000081,12442,1,15.49,15.49
ORD-0000081,8816,3,63.63,190.89
ORD-0000081,331,1,102.31,102.31
ORD-0000081,9239,3,14.02,42.06
ORD-0000081,5584,2,22.89,45.78
ORD-0000082,8664,2,12.26,24.52
ORD-0000082,12874,1,60.59,60.59
ORD-0000082,6804,3,88.46,265.38
ORD-0000082,7937,3,105.5,316.5
ORD-0000082,14890,1,124.91,124.91
ORD-0000083,8362,2,98.31,196.62
ORD-0000083,1585,1,80.86,80.86
ORD-0000083,5935,2,62.29,124.58
ORD-0000083,7523,3,117.08,351.24
ORD-0000084,11022,2,110.19,220.38
ORD-0000084,14450,3,63.91,191.73
ORD-0000084,7712,2,31.43,62.86
ORD-0000084,11175,1,86.07,86.07
ORD-0000084,5164,3,20.07,60.21
ORD-0000085,4791,3,114.09,342.27
ORD-0000086,11027,2,126.07,252.14
ORD-0000086,582,1,61.5,61.5
ORD-0000086,4766,3,44.49,133.47
ORD-0000086,9197,3,130.27,390.81
ORD-0000086,1324,3,127.86,383.58
ORD-0000087,513,1,39.89,39.89
ORD-0000087,10472,3,74.58,223.74
ORD-0000087,6972,3,52.69,158.07
ORD-0000087,5063,1,121.64,121.64
ORD-0000088,11591,1,33.48,33.48
ORD-0000088,6188,2,147.69,295.38
ORD-0000088,8402,2,64.98,129.96
ORD-0000088,14589,2,74.94,149.88
ORD-0000089,13327,1,100.96,100.96
ORD-0000089,12395,2,113.05,226.1
ORD-0000089,1070,3,94.67,284.01
ORD-0000089,10852,3,92.56,277.68
ORD-0000089,6566,1,75.29,75.29
ORD-0000090,13877,2,45.66,91.32
ORD-0000090,4118,2,147.85,295.7
ORD-0000090,298,1,31.52,31.52
ORD-0000091,14985,3,16.27,48.81
ORD-0000091,11775,1,36.24,36.24
ORD-0000091,3051,1,122.36,122.36
ORD-0000091,11945,1,17.92,17.92
ORD-0000091,9376,1,130.56,130.56
ORD-0000092,2867,3,80.57,241.71
ORD-0000092,4206,3,35.88,107.64
ORD-0000093,3215,2,97.94,195.88
ORD-0000094,7847,1,34.89,34.89
ORD-0000094,2266,3,68.84,206.52
ORD-0000095,2327,2,137.98,275.96
ORD-0000096,11461,3,142.5,427.5
ORD-0000097,7750,3,148.39,445.17
ORD-0000097,9487,3,119.56,358.68
ORD-0000097,10500,3,144.31,432.93
ORD-0000098,14214,1,85.02,85.02
ORD-0000098,2361,1,41.68,41.68
ORD-0000098,12420,2,75.73,151.46
ORD-0000098,6767,2,88.12,176.24
ORD-0000098,14926,1,122.52,122.52
ORD-0000099,4748,3,122.57,367.71
ORD-0000100,13487,2,43.58,87.16
ORD-0000100,14341,3,145.18,435.54
ORD-0000101,9452,3,124.06,372.18
ORD-0000102,4762,1,15.3,15.3
ORD-0000102,6053,1,125.42,125.42
ORD-0000102,1937,3,142.43,427.29
ORD-0000102,1644,3,139.45,418.35
ORD-0000102,588,2,120.12,240.24
ORD-0000103,7327,2,113.35,226.7
ORD-0000103,6696,1,14.13,14.13
ORD-0000104,273,3,148.03,444.09
ORD-0000105,14131,1,29.42,29.42
ORD-0000105,9326,3,128.05,384.15
ORD-0000105,711,2,81.91,163.82
ORD-0000106,6056,3,55.55,166.65
ORD-0000106,12226,1,60.41,60.41
ORD-0000106,13668,3,10.62,31.86
ORD-0000106,2332,3,126.77,380.31
ORD-0000106,4362,3,83.67,251.01
ORD-0000107,14736,3,133.22,399.66
ORD-0000107,7143,3,119.86,359.58
ORD-0000107,12170,1,56.04,56.04
ORD-0000108,4220,3,94.17,282.51
ORD-0000108,9910,3,54.36,163.08
ORD-0000108,14936,3,118.82,356.46
ORD-0000108,4566,2,101.56,203.12
ORD-0000108,5653,1,94.67,94.67
ORD-0000109,14495,1,49.58,49.58
ORD-0000109,5834,1,143.85,143.85
ORD-0000109,1721,3,77.2,231.6
ORD-0000109,11179,2,58.1,116.2
ORD-0000110,6730,2,59.01,118.02
ORD-0000110,3668,3,41.46,124.38
ORD-0000110,3539,3,50.05,150.15
ORD-0000110,1890,2,21.19,42.38
ORD-0000110,12328,1,95.66,95.66
ORD-0000111,12525,2,127.07,254.14
ORD-0000111,11096,3,75.41,226.23
ORD-0000111,1689,1,43.04,43.04
ORD-0000112,8721,1,78.49,78.49
ORD-0000112,1156,1,35.25,35.25
ORD-0000113,13482,1,12.85,12.85
ORD-0000113,10867,1,26.3,26.3
ORD-0000113,2800,2,140.54,281.08
ORD-0000113,1224,3,144.56,433.68
ORD-0000114,6159,1,136.26,136.26
ORD-0000114,2906,1,103.09,103.09
ORD-0000114,286,1,51.94,51.94
ORD-0000114,14424,2,30.34,60.68
ORD-0000114,13751,2,135.16,270.32
ORD-0000115,6496,3,138.14,414.42
ORD-0000115,4995,2,80.76,161.52
ORD-0000115,2131,1,128.62,128.62
ORD-0000115,6353,3,89.01,267.03
ORD-0000116,6013,1,144.5,144.5
ORD-0000116,5417,2,68.26,136.52
ORD-0000116,1582,2,49.69,99.38
ORD-0000117,8743,2,26.06,52.12
ORD-0000117,6285,3,139.11,417.33
ORD-0000117,9849,1,44.77,44.77
ORD-0000117,4536,3,94.9,284.7
ORD-0000118,13386,3,85.73,257.19
ORD-0000118,2894,3,148.86,446.58
ORD-0000119,10309,1,52.73,52.73
ORD-0000119,69,2,22.93,45.86
ORD-0000119,1834,2,69.89,139.78
ORD-0000120,5557,2,142.09,284.18
ORD-0000120,7717,3,29.94,89.82
ORD-0000120,7574,1,70.06,70.06
ORD-0000120,1553,1,24.68,24.68
ORD-0000120,5279,3,134.26,402.78
ORD-0000121,14771,3,44.73,134.19
ORD-0000121,7471,3,13.49,40.47
ORD-0000122,8089,1,141.22,141.22
ORD-0000122,12094,1,110.01,110.01
ORD-0000122,1433,3,18.43,55.29
ORD-0000122,13183,3,89.75,269.25
ORD-0000122,6628,3,60.54,181.62
ORD-0000123,14697,3,30.15,90.45
ORD-0000123,6750,1,147.65,147.65
ORD-0000124,3011,3,84.87,254.61
ORD-0000124,6271,3,51.92,155.76
ORD-0000124,11172,2,64.55,129.1
ORD-0000124,4627,1,63.31,63.31
ORD-0000124,7830,1,78,78
ORD-0000125,2979,2,105.91,211.82
ORD-0000126,14907,2,139.03,278.06
ORD-0000126,10380,2,48.86,97.72
ORD-0000127,4131,2,135.11,270.22
ORD-0000127,12325,2,102.32,204.64
ORD-0000127,4166,3,90.59,271.77
ORD-0000128,13402,3,14.35,43.05
ORD-0000129,4545,2,72.95,145.9
ORD-0000129,494,1,122.15,122.15
ORD-0000129,12294,1,127.58,127.58
ORD-0000130,9175,3,60.63,181.89
ORD-0000130,338,3,135.32,405.96
ORD-0000131,2945,2,133.49,266.98
ORD-0000131,7169,3,71.67,215.01
ORD-0000132,3363,3,93.68,281.04
ORD-0000132,692,2,13.27,26.54
ORD-0000132,2773,3,15.81,47.43
ORD-0000132,13587,3,81.65,244.95
ORD-0000132,5689,2,14.69,29.38
ORD-0000133,8014,1,88.53,88.53
ORD-0000133,8628,1,103.38,103.38
ORD-0000133,8790,2,107.36,214.72
ORD-0000133,8752,1,94.58,94.58
ORD-0000134,3635,2,49.64,99.28
ORD-0000134,9664,3,46.18,138.54
ORD-0000134,9280,3,149.73,449.19
ORD-0000135,9185,1,26.03,26.03
ORD-0000136,3358,3,148.5,445.5
ORD-0000136,10766,3,111.59,334.77
ORD-0000137,8847,1,42.8,42.8
ORD-0000137,353,3,87.32,261.96
ORD-0000138,12757,2,82.39,164.78
ORD-0000139,12720,2,25.2,50.4
ORD-0000139,858,1,14.02,14.02
ORD-0000139,12426,1,30.39,30.39
ORD-0000140,11083,2,143.65,287.3
ORD-0000141,7923,3,145.9,437.7
ORD-0000141,4321,2,46.34,92.68
ORD-0000141,11153,2,52.94,105.88
ORD-0000141,3854,1,100.93,100.93
ORD-0000142,10481,3,110.38,331.14
ORD-0000142,8846,2,63.02,126.04
ORD-0000142,4207,1,40.75,40.75
ORD-0000143,14603,1,51.06,51.06
ORD-0000143,9825,2,116.69,233.38
ORD-0000143,12191,3,54.6,163.8
ORD-0000143,5800,1,35.74,35.74
ORD-0000143,13779,1,82.04,82.04
ORD-0000144,11557,1,89.85,89.85
ORD-0000144,8507,1,149.17,149.17
ORD-0000144,6072,3,145.15,435.45
ORD-0000145,10749,1,31.7,31.7
ORD-0000145,8346,1,60.95,60.95
ORD-0000145,8961,1,126.3,126.3
ORD-0000145,4996,1,120.27,120.27
ORD-0000145,7460,2,45.55,91.1
ORD-0000146,476,1,135.63,135.63
ORD-0000146,2414,1,63.52,63.52
ORD-0000146,5050,1,76.32,76.32
ORD-0000146,11555,3,101,303
ORD-0000147,14426,1,149.86,149.86
ORD-0000148,12763,3,146.66,439.98
ORD-0000148,7453,1,107.88,107.88
ORD-0000148,9521,2,12.11,24.22
ORD-0000148,4581,1,148.01,148.01
ORD-0000149,7789,1,99.98,99.98
ORD-0000149,11728,3,31.65,94.95
ORD-0000149,3502,2,91.37,182.74
ORD-0000149,534,1,143.88,143.88
ORD-0000149,14010,3,142.8,428.4
ORD-0000150,5347,2,121.71,243.42
ORD-0000150,8461,2,55.72,111.44
ORD-0000150,14285,2,18.16,36.32
ORD-0000150,11118,3,20.96,62.88
ORD-0000150,531,3,42.81,128.43
ORD-0000151,1891,1,135.28,135.28
ORD-0000151,12580,1,98.99,98.99
ORD-0000152,14113,1,44.21,44.21
ORD-0000152,260,3,86.98,260.94
ORD-0000152,13172,2,94.71,189.42
ORD-0000153,3312,3,134.68,404.04
ORD-0000153,395,3,139.22,417.66
ORD-0000153,14945,1,16.78,16.78
ORD-0000154,12954,3,10.56,31.68
ORD-0000154,7020,1,111.34,111.34
ORD-0000154,96,2,85.31,170.62
ORD-0000154,7947,3,36.84,110.52
ORD-0000154,457,3,29.81,89.43
ORD-0000155,7268,1,86.2,86.2
ORD-0000155,4709,2,139.05,278.1
ORD-0000156,5097,2,54.17,108.34
ORD-0000156,12617,2,20.87,41.74
ORD-0000157,3845,2,113.95,227.9
ORD-0000157,4916,1,27.57,27.57
ORD-0000157,10892,3,17.02,51.06
ORD-0000157,5709,3,14.32,42.96
ORD-0000158,8928,1,83.86,83.86
ORD-0000158,5124,3,121.14,363.42
ORD-0000158,14112,1,139.3,139.3
ORD-0000158,10981,3,73.74,221.22
ORD-0000158,5307,2,108.56,217.12
ORD-0000159,4540,1,141,141
ORD-0000159,1732,3,13.44,40.32
ORD-0000159,2749,3,33.44,100.32
ORD-0000160,4642,3,123.18,369.54
ORD-0000161,8999,1,138.4,138.4
ORD-0000161,2921,3,68.33,204.99
ORD-0000161,8444,3,21.35,64.05
ORD-0000161,10784,1,98.15,98.15
ORD-0000161,25,2,96.3,192.6
ORD-0000162,12764,3,91.02,273.06
ORD-0000162,2962,2,63.19,126.38
ORD-0000162,8622,1,20.05,20.05
ORD-0000162,12536,3,29.98,89.94
ORD-0000163,13552,2,118.67,237.34
ORD-0000163,9968,2,75.25,150.5
ORD-0000163,5934,3,64.84,194.52
ORD-0000163,7232,1,52.54,52.54
ORD-0000164,7527,2,25.93,51.86
ORD-0000164,8538,2,58.61,117.22
ORD-0000165,1220,1,90.6,90.6
ORD-0000165,8879,1,50.78,50.78
ORD-0000165,12006,2,26.7,53.4
ORD-0000166,10216,2,29.09,58.18
ORD-0000166,11469,2,65.46,130.92
ORD-0000167,12105,3,29.27,87.81
ORD-0000167,986,3,142.49,427.47
ORD-0000168,5689,2,14.69,29.38
ORD-0000168,8866,1,29.27,29.27
ORD-0000168,2164,1,42.43,42.43
ORD-0000168,3022,1,127.99,127.99
ORD-0000169,5255,3,26.23,78.69
ORD-0000170,9670,3,81.68,245.04
ORD-0000170,9134,3,66.92,200.76
ORD-0000170,11002,1,70.53,70.53
ORD-0000170,7732,3,73.71,221.13
ORD-0000171,11821,2,102.79,205.58
ORD-0000171,13336,2,40.16,80.32
ORD-0000171,13225,3,140.39,421.17
ORD-0000172,12442,2,15.49,30.98
ORD-0000172,6979,1,55.92,55.92
ORD-0000172,14335,2,79.22,158.44
ORD-0000172,6839,2,92.79,185.58
ORD-0000172,7740,2,131.65,263.3
ORD-0000173,2442,2,58.38,116.76
ORD-0000173,3804,1,96.39,96.39
ORD-0000173,8444,2,21.35,42.7
ORD-0000174,13968,3,13.77,41.31
ORD-0000174,3034,3,120.09,360.27
ORD-0000174,11049,2,121.56,243.12
ORD-0000175,5785,1,80.27,80.27
ORD-0000175,11879,1,13.37,13.37
ORD-0000176,12670,1,54.69,54.69
ORD-0000176,12512,3,42.58,127.74
ORD-0000176,11171,2,73.81,147.62
ORD-0000176,4671,3,111.39,334.17
ORD-0000176,254,3,101.91,305.73
ORD-0000177,3498,3,18.6,55.8
ORD-0000177,6641,3,131.16,393.48
ORD-0000178,11992,3,15.88,47.64
ORD-0000179,2141,3,24.38,73.14
ORD-0000180,14068,1,75.06,75.06
ORD-0000180,8865,2,92.49,184.98
ORD-0000181,10888,3,55.14,165.42
ORD-0000181,10930,1,74.77,74.77
ORD-0000181,7834,1,118.4,118.4
ORD-0000181,10859,1,59.44,59.44
ORD-0000181,11787,1,68.95,68.95
ORD-0000182,12999,3,52.83,158.49
ORD-0000182,13227,1,71.31,71.31
ORD-0000182,9630,3,135.24,405.72
ORD-0000182,9609,2,119.73,239.46
ORD-0000183,12689,2,143.05,286.1
ORD-0000184,8628,3,103.38,310.14
ORD-0000184,8934,2,48.02,96.04
ORD-0000184,1957,1,59.65,59.65
ORD-0000185,7154,3,12.79,38.37
ORD-0000185,10769,3,38.88,116.64
ORD-0000186,14790,3,149.46,448.38
ORD-0000187,5551,3,71.68,215.04
ORD-0000188,11989,1,68.28,68.28
ORD-0000188,9449,2,94.9,189.8
ORD-0000188,6271,2,51.92,103.84
ORD-0000188,4446,3,109.29,327.87
ORD-0000189,3623,1,148.33,148.33
ORD-0000189,9037,2,88.4,176.8
ORD-0000190,2211,3,109.48,328.44
ORD-0000190,12115,3,27.17,81.51
ORD-0000190,7423,2,36.25,72.5
ORD-0000190,13406,3,22.01,66.03
ORD-0000191,490,2,89.07,178.14
ORD-0000191,11874,2,75.47,150.94
ORD-0000192,4535,1,106.5,106.5
ORD-0000192,11920,2,50.23,100.46
ORD-0000192,6806,3,129.12,387.36
ORD-0000192,11665,1,77.05,77.05
ORD-0000192,14356,1,47.45,47.45
ORD-0000193,5074,2,86.43,172.86
ORD-0000194,11912,2,99.81,199.62
ORD-0000194,12803,3,103.73,311.19
ORD-0000194,3296,3,79.61,238.83
ORD-0000194,4448,2,99.07,198.14
ORD-0000195,2399,2,102.99,205.98
ORD-0000195,4767,3,21.93,65.79
ORD-0000195,9877,2,126.72,253.44
ORD-0000196,13723,2,59.31,118.62
ORD-0000196,9863,2,30.84,61.68
ORD-0000196,13069,1,66.49,66.49
ORD-0000196,14895,1,140.31,140.31
ORD-0000196,12,1,101.88,101.88
ORD-0000197,7288,1,34.86,34.86
ORD-0000197,14920,3,61.39,184.17
ORD-0000197,7713,3,71.5,214.5
ORD-0000197,13507,3,38.29,114.87
ORD-0000197,7005,3,92.64,277.92
ORD-0000198,13983,1,51.66,51.66
ORD-0000198,14512,1,101.79,101.79
ORD-0000198,3388,2,49.51,99.02
ORD-0000198,11641,2,79.32,158.64
ORD-0000199,4028,3,140.77,422.31
ORD-0000200,12740,3,129.82,389.46
ORD-0000200,11070,3,123.17,369.51
ORD-0000200,7130,3,108.8,326.4
ORD-0000200,11393,1,144.69,144.69
ORD-0000200,3263,2,82.08,164.16
ORD-0000201,8645,3,107.75,323.25
ORD-0000201,11140,1,39.71,39.71
ORD-0000202,14077,1,99.2,99.2
ORD-0000202,14884,3,24.18,72.54
ORD-0000203,2347,1,69.67,69.67
ORD-0000203,1020,2,93.33,186.66
ORD-0000203,1195,3,134.06,402.18
ORD-0000203,10103,3,12.83,38.49
ORD-0000204,10301,3,146.89,440.67
ORD-0000204,742,1,106.17,106.17
ORD-0000204,13522,1,32.28,32.28
ORD-0000204,9994,2,38.59,77.18
ORD-0000205,12396,2,27.54,55.08
ORD-0000205,10616,1,132.71,132.71
ORD-0000206,4032,1,32.73,32.73
ORD-0000206,13556,2,93.62,187.24
ORD-0000206,9729,2,15.74,31.48
ORD-0000206,12517,2,40.98,81.96
ORD-0000206,2756,1,47.88,47.88
ORD-0000207,14099,1,127.97,127.97
ORD-0000207,3064,2,48.29,96.58
ORD-0000207,2461,1,27.84,27.84
ORD-0000208,9719,2,81.36,162.72
ORD-0000208,7588,1,101.52,101.52
ORD-0000208,10133,1,43.71,43.71
ORD-0000208,5274,2,69.68,139.36
ORD-0000208,13966,2,51.62,103.24
ORD-0000209,8197,1,108.88,108.88
ORD-0000209,8558,1,142.46,142.46
ORD-0000209,7077,2,127.01,254.02
ORD-0000209,6238,1,123.97,123.97
ORD-0000209,1098,2,21.81,43.62
ORD-0000210,1105,2,47.13,94.26
ORD-0000210,12669,2,126.09,252.18
ORD-0000210,13576,3,99.16,297.48
ORD-0000210,12432,2,122.4,244.8
ORD-0000210,9925,1,124.42,124.42
ORD-0000211,1865,3,71.29,213.87
ORD-0000211,14589,1,74.94,74.94
ORD-0000211,9223,3,67.66,202.98
ORD-0000211,12102,1,67.89,67.89
ORD-0000212,8506,3,81.54,244.62
ORD-0000212,13720,1,34.54,34.54
ORD-0000212,8240,2,26.47,52.94
ORD-0000212,843,1,142.96,142.96
ORD-0000213,5243,1,17.08,17.08
ORD-0000214,11063,3,10.75,32.25
ORD-0000214,11538,2,22.08,44.16
ORD-0000215,11521,1,116.95,116.95
ORD-0000215,3537,3,74.54,223.62
ORD-0000216,1085,3,135.06,405.18
ORD-0000216,8,1,21.43,21.43
ORD-0000216,7447,1,59.18,59.18
ORD-0000216,12338,2,14.76,29.52
ORD-0000216,2549,1,108.12,108.12
ORD-0000217,4667,3,124.65,373.95
ORD-0000217,6069,3,74.82,224.46
ORD-0000217,11823,1,128.86,128.86
ORD-0000217,5296,3,131.87,395.61
