OrderID,SalesPersonID,CustomerID,OrderDate,ShipDate,ShippingMethod,ShipMethodID,PaymentMethodID,Freight,TotalSubTotal,TotalTax/Order,TotalDue
ORD-0000055,25,2897,27-04-24,04-05-24,Standard Shipping,1,1,5,668.37,46.79,720.16
ORD-0000056,9,3367,13-10-24,20-10-24,Standard Shipping,1,2,5,187.59,13.13,205.72
ORD-0000057,17,492,25-05-23,25-05-23,Pickup,3,2,0,28.69,2.01,30.7
ORD-0000058,28,2243,11-05-23,18-05-23,Standard Shipping,1,2,5,882.17,61.76,948.93
ORD-0000059,21,1406,05-02-23,08-02-23,Express Shipping,2,1,15,488.99,34.24,538.23
ORD-0000060,6,3243,05-03-24,08-03-24,Express Shipping,2,2,15,812.51,56.88,884.39
ORD-0000061,3,785,13-02-23,16-02-23,Express Shipping,2,2,15,191.97,13.44,220.41
ORD-0000062,8,2078,16-08-24,19-08-24,Express Shipping,2,2,15,54.27,3.8,73.07
ORD-0000063,14,2553,14-07-24,21-07-24,Standard Shipping,1,1,5,903.62,63.26,971.88
ORD-0000064,4,2653,02-10-24,09-10-24,Standard Shipping,1,1,5,855.45,59.89,920.34
ORD-0000065,22,1631,22-07-24,29-07-24,Standard Shipping,1,2,5,154.32,10.8,170.12
ORD-0000066,15,3143,24-12-24,24-12-24,Pickup,3,2,0,446.47,31.24,477.71
ORD-0000067,22,36,13-01-23,13-01-23,Pickup,3,2,0,805.47,56.38,861.85
ORD-0000068,23,1370,24-11-23,27-11-23,Express Shipping,2,2,15,830.43,58.13,903.56
ORD-0000069,8,2471,16-11-24,16-11-24,Pickup,3,2,0,643.77,45.07,688.84
ORD-0000070,7,326,25-08-24,01-09-24,Standard Shipping,1,2,5,465.43,32.58,503.01
ORD-0000071,12,2081,28-02-23,07-03-23,Standard Shipping,1,2,5,271.09,18.98,295.07
ORD-0000072,22,1889,29-03-23,05-04-23,Standard Shipping,1,2,5,130.37,9.13,144.5
ORD-0000073,13,3481,30-03-23,06-04-23,Standard Shipping,1,2,5,337.24,23.61,365.85
ORD-0000074,30,335,03-01-24,10-01-24,Standard Shipping,1,2,5,58.35,4.08,67.43
ORD-0000075,18,2633,25-06-23,02-07-23,Standard Shipping,1,2,5,264.63,18.52,288.15
ORD-0000076,19,3361,04-10-24,04-10-24,Pickup,3,2,0,754.77,52.84,807.61
ORD-0000077,17,2754,23-06-23,30-06-23,Standard Shipping,1,2,5,77.38,5.42,87.8
ORD-0000078,13,499,17-03-23,24-03-23,Standard Shipping,1,2,5,766.67,53.67,825.34
ORD-0000079,16,393,14-04-24,21-04-24,Standard Shipping,1,1,5,330.51,23.13,358.64
ORD-0000080,22,2863,24-09-23,24-09-23,Pickup,3,1,0,131.37,9.2,140.57
ORD-0000081,9,2849,15-11-24,22-11-24,Standard Shipping,1,1,5,396.53,27.74,429.27
ORD-0000082,11,1860,23-03-23,26-03-23,Express Shipping,2,1,15,791.9,55.44,862.34
ORD-0000083,10,1888,29-07-23,05-08-23,Standard Shipping,1,1,5,753.3,52.73,811.03
ORD-0000084,9,1548,27-11-23,04-12-23,Standard Shipping,1,2,5,621.25,43.48,669.73
ORD-0000085,26,1332,10-04-24,17-04-24,Standard Shipping,1,1,5,342.27,23.96,371.23
ORD-0000086,9,2877,19-05-23,22-05-23,Express Shipping,2,2,15,1221.5,85.51,1322.01
ORD-0000087,14,1463,04-09-24,11-09-24,Standard Shipping,1,1,5,543.34,38.02,586.36
ORD-0000088,9,988,06-11-24,13-11-24,Standard Shipping,1,2,5,608.7,42.61,656.31
ORD-0000089,12,2835,14-05-23,21-05-23,Standard Shipping,1,2,5,964.04,67.49,1036.53
ORD-0000090,9,2283,14-12-23,21-12-23,Standard Shipping,1,2,5,418.54,29.3,452.84
ORD-0000091,26,744,10-02-23,17-02-23,Standard Shipping,1,2,5,355.89,24.92,385.81
ORD-0000092,28,3090,14-05-23,21-05-23,Standard Shipping,1,2,5,349.35,24.45,378.8
ORD-0000093,6,15,12-12-24,12-12-24,Pickup,3,1,0,195.88,13.71,209.59
ORD-0000094,13,371,04-05-23,11-05-23,Standard Shipping,1,2,5,241.41,16.9,263.31
ORD-0000095,27,1305,20-09-24,27-09-24,Standard Shipping,1,1,5,275.96,19.32,300.28
ORD-0000096,26,3513,31-07-24,07-08-24,Standard Shipping,1,1,5,427.5,29.93,462.43
ORD-0000097,13,1645,11-03-23,18-03-23,Standard Shipping,1,1,5,1236.78,86.58,1328.36
ORD-0000098,18,637,04-02-23,11-02-23,Standard Shipping,1,2,5,576.92,40.39,622.31
ORD-0000099,16,2221,22-01-24,29-01-24,Standard Shipping,1,1,5,367.71,25.74,398.45
ORD-0000100,8,1286,25-03-23,28-03-23,Express Shipping,2,2,15,522.7,36.59,574.29
ORD-0000101,5,933,12-01-23,19-01-23,Standard Shipping,1,1,5,372.18,26.05,403.23
ORD-0000102,15,1114,04-06-24,11-06-24,Standard Shipping,1,2,5,1226.6,85.86,1317.46
ORD-0000103,25,1712,21-06-24,24-06-24,Express Shipping,2,1,15,240.83,16.86,272.69
ORD-0000104,10,3445,17-07-23,24-07-23,Standard Shipping,1,2,5,444.09,31.09,480.18
ORD-0000105,19,2801,20-03-23,23-03-23,Express Shipping,2,2,15,577.39,40.42,632.81
ORD-0000106,14,654,14-04-23,14-04-23,Pickup,3,2,0,890.24,62.32,952.56
ORD-0000107,7,1320,05-01-24,12-01-24,Standard Shipping,1,2,5,815.28,57.07,877.35
ORD-0000108,22,2573,30-12-23,06-01-24,Standard Shipping,1,1,5,1099.84,77,1181.84
ORD-0000109,9,696,02-01-23,09-01-23,Standard Shipping,1,1,5,541.23,37.88,584.11
ORD-0000110,30,3181,04-11-24,04-11-24,Pickup,3,2,0,530.59,37.15,567.74
ORD-0000111,20,2018,03-07-24,10-07-24,Standard Shipping,1,2,5,523.41,36.64,565.05
ORD-0000112,6,2756,12-06-24,15-06-24,Express Shipping,2,1,15,113.74,7.96,136.7
ORD-0000113,3,2924,26-04-24,03-05-24,Standard Shipping,1,2,5,753.91,52.78,811.69
ORD-0000114,23,759,21-05-24,21-05-24,Pickup,3,1,0,622.29,43.57,665.86
ORD-0000115,28,3179,26-07-23,02-08-23,Standard Shipping,1,2,5,971.59,68.01,1044.6
ORD-0000116,18,3304,07-06-24,07-06-24,Pickup,3,2,0,380.4,26.64,407.04
ORD-0000117,25,2312,06-09-24,13-09-24,Standard Shipping,1,1,5,798.92,55.92,859.84
ORD-0000118,18,1057,19-12-24,19-12-24,Pickup,3,2,0,703.77,49.26,753.03
ORD-0000119,19,3500,11-02-24,18-02-24,Standard Shipping,1,1,5,238.37,16.68,260.05
ORD-0000120,9,1644,07-10-23,07-10-23,Pickup,3,2,0,871.52,61,932.52
ORD-0000121,1,13,17-04-24,24-04-24,Standard Shipping,1,2,5,174.66,12.22,191.88
ORD-0000122,7,365,07-03-24,14-03-24,Standard Shipping,1,2,5,757.39,53.02,815.41
ORD-0000123,30,2979,10-06-24,17-06-24,Standard Shipping,1,2,5,238.1,16.67,259.77
ORD-0000124,22,87,27-03-24,03-04-24,Standard Shipping,1,2,5,680.78,47.65,733.43
ORD-0000125,15,1077,05-12-24,12-12-24,Standard Shipping,1,2,5,211.82,14.83,231.65
ORD-0000126,29,3167,08-05-24,15-05-24,Standard Shipping,1,1,5,375.78,26.3,407.08
ORD-0000127,27,550,06-04-24,13-04-24,Standard Shipping,1,1,5,746.63,52.26,803.89
ORD-0000128,7,1743,30-05-23,06-06-23,Standard Shipping,1,2,5,43.05,3.01,51.06
ORD-0000129,16,56,01-08-24,08-08-24,Standard Shipping,1,2,5,395.63,27.69,428.32
ORD-0000130,2,3456,14-05-24,17-05-24,Express Shipping,2,2,15,587.85,41.15,644
ORD-0000131,14,271,21-11-23,28-11-23,Standard Shipping,1,1,5,481.99,33.74,520.73
ORD-0000132,18,1852,20-08-23,27-08-23,Standard Shipping,1,2,5,629.34,44.06,678.4
ORD-0000133,8,2774,20-12-23,27-12-23,Standard Shipping,1,1,5,501.21,35.09,541.3
ORD-0000134,16,1037,29-06-24,06-07-24,Standard Shipping,1,2,5,687.01,48.09,740.1
ORD-0000135,22,1452,02-05-23,09-05-23,Standard Shipping,1,2,5,26.03,1.82,32.85
ORD-0000136,15,2856,12-05-24,19-05-24,Standard Shipping,1,1,5,780.27,54.62,839.89
ORD-0000137,22,2992,16-06-23,19-06-23,Express Shipping,2,1,15,304.76,21.34,341.1
ORD-0000138,4,376,05-09-24,12-09-24,Standard Shipping,1,2,5,164.78,11.53,181.31
ORD-0000139,30,2425,23-12-23,30-12-23,Standard Shipping,1,2,5,94.81,6.64,106.45
ORD-0000140,27,2983,01-09-24,01-09-24,Pickup,3,1,0,287.3,20.11,307.41
ORD-0000141,10,2051,03-10-24,10-10-24,Standard Shipping,1,2,5,737.19,51.61,793.8
ORD-0000142,11,1539,03-06-24,10-06-24,Standard Shipping,1,2,5,497.93,34.85,537.78
ORD-0000143,4,2493,26-07-23,29-07-23,Express Shipping,2,2,15,566.02,39.62,620.64
ORD-0000144,8,2295,11-09-23,18-09-23,Standard Shipping,1,2,5,674.47,47.21,726.68
ORD-0000145,28,2209,20-04-24,27-04-24,Standard Shipping,1,1,5,430.32,30.13,465.45
ORD-0000146,3,3425,08-06-23,15-06-23,Standard Shipping,1,1,5,578.47,40.49,623.96
ORD-0000147,18,2727,04-09-24,11-09-24,Standard Shipping,1,1,5,149.86,10.49,165.35
ORD-0000148,4,1928,24-07-23,27-07-23,Express Shipping,2,1,15,720.09,50.41,785.5
ORD-0000149,24,212,08-11-24,15-11-24,Standard Shipping,1,2,5,949.95,66.5,1021.45
ORD-0000150,10,2,10-06-24,17-06-24,Standard Shipping,1,2,5,582.49,40.77,628.26
ORD-0000151,1,255,21-01-23,28-01-23,Standard Shipping,1,2,5,234.27,16.4,255.67
ORD-0000152,12,607,05-05-24,05-05-24,Pickup,3,1,0,494.57,34.62,529.19
ORD-0000153,14,3370,10-08-23,17-08-23,Standard Shipping,1,2,5,838.48,58.69,902.17
ORD-0000154,10,131,22-06-24,29-06-24,Standard Shipping,1,2,5,513.59,35.95,554.54
ORD-0000155,29,1075,08-11-24,15-11-24,Standard Shipping,1,2,5,364.3,25.5,394.8
ORD-0000156,24,590,29-01-23,05-02-23,Standard Shipping,1,2,5,150.08,10.5,165.58
ORD-0000157,13,3390,04-10-24,11-10-24,Standard Shipping,1,1,5,349.49,24.46,378.95
ORD-0000158,30,2073,24-06-23,24-06-23,Pickup,3,1,0,1024.92,71.75,1096.67
ORD-0000159,10,2777,14-01-24,21-01-24,Standard Shipping,1,1,5,281.64,19.71,306.35
ORD-0000160,20,2404,02-04-24,09-04-24,Standard Shipping,1,1,5,369.54,25.87,400.41
ORD-0000161,22,305,22-10-23,29-10-23,Standard Shipping,1,1,5,698.19,48.87,752.06
ORD-0000162,6,3058,05-09-24,12-09-24,Standard Shipping,1,1,5,509.43,35.66,550.09
ORD-0000163,17,765,22-04-24,22-04-24,Pickup,3,1,0,634.9,44.45,679.35
ORD-0000164,10,1469,08-09-23,15-09-23,Standard Shipping,1,1,5,169.08,11.84,185.92
ORD-0000165,10,2170,25-07-23,01-08-23,Standard Shipping,1,1,5,194.78,13.63,213.41
ORD-0000166,8,1280,07-04-24,07-04-24,Pickup,3,1,0,189.1,13.23,202.33
ORD-0000167,12,3387,07-11-23,14-11-23,Standard Shipping,1,1,5,515.28,36.07,556.35
ORD-0000168,25,1671,04-03-23,11-03-23,Standard Shipping,1,2,5,229.07,16.04,250.11
ORD-0000169,7,2398,23-11-24,30-11-24,Standard Shipping,1,2,5,78.69,5.51,89.2
ORD-0000170,25,3150,08-10-24,15-10-24,Standard Shipping,1,1,5,737.46,51.62,794.08
ORD-0000171,20,1102,21-07-23,28-07-23,Standard Shipping,1,2,5,707.07,49.49,761.56
ORD-0000172,13,1153,27-07-23,27-07-23,Pickup,3,1,0,694.22,48.59,742.81
ORD-0000173,1,3521,19-08-23,26-08-23,Standard Shipping,1,1,5,255.85,17.91,278.76
ORD-0000174,17,193,12-05-24,19-05-24,Standard Shipping,1,1,5,644.7,45.13,694.83
ORD-0000175,1,3458,14-04-24,21-04-24,Standard Shipping,1,2,5,93.64,6.56,105.2
ORD-0000176,14,3234,28-05-24,28-05-24,Pickup,3,1,0,969.95,67.89,1037.84
ORD-0000177,15,566,27-11-23,04-12-23,Standard Shipping,1,1,5,449.28,31.45,485.73
ORD-0000178,29,1854,01-10-24,08-10-24,Standard Shipping,1,1,5,47.64,3.33,55.97
ORD-0000179,26,612,09-03-24,16-03-24,Standard Shipping,1,1,5,73.14,5.12,83.26
ORD-0000180,9,975,24-12-23,27-12-23,Express Shipping,2,2,15,260.04,18.2,293.24
ORD-0000181,5,2841,30-12-23,30-12-23,Pickup,3,2,0,486.98,34.09,521.07
ORD-0000182,7,2633,29-09-24,06-10-24,Standard Shipping,1,1,5,874.98,61.24,941.22
ORD-0000183,5,774,10-04-23,17-04-23,Standard Shipping,1,1,5,286.1,20.03,311.13
ORD-0000184,20,1710,15-10-23,18-10-23,Express Shipping,2,1,15,465.83,32.61,513.44
ORD-0000185,20,541,21-09-23,28-09-23,Standard Shipping,1,1,5,155.01,10.85,170.86
ORD-0000186,3,171,20-02-23,27-02-23,Standard Shipping,1,2,5,448.38,31.39,484.77
ORD-0000187,12,2007,19-12-23,26-12-23,Standard Shipping,1,2,5,215.04,15.05,235.09
ORD-0000188,17,810,28-07-24,04-08-24,Standard Shipping,1,2,5,689.79,48.29,743.08
ORD-0000189,25,1290,13-10-24,20-10-24,Standard Shipping,1,1,5,325.13,22.76,352.89
ORD-0000190,4,1382,13-06-23,20-06-23,Standard Shipping,1,1,5,548.48,38.4,591.88
ORD-0000191,13,1674,16-10-24,19-10-24,Express Shipping,2,1,15,329.08,23.04,367.12
ORD-0000192,15,694,13-08-24,20-08-24,Standard Shipping,1,2,5,718.82,50.32,774.14
ORD-0000193,27,3193,23-11-23,23-11-23,Pickup,3,1,0,172.86,12.1,184.96
ORD-0000194,4,2248,26-06-24,03-07-24,Standard Shipping,1,1,5,947.78,66.34,1019.12
ORD-0000195,3,1797,30-12-24,06-01-25,Standard Shipping,1,1,5,525.21,36.77,566.98
ORD-0000196,2,2480,16-02-24,19-02-24,Express Shipping,2,2,15,488.98,34.22,538.2
ORD-0000197,28,2530,22-08-24,29-08-24,Standard Shipping,1,2,5,826.32,57.84,889.16
ORD-0000198,4,1711,02-02-23,09-02-23,Standard Shipping,1,1,5,411.11,28.78,444.89
ORD-0000199,12,553,23-11-24,30-11-24,Standard Shipping,1,1,5,422.31,29.56,456.87
ORD-0000200,24,1966,30-11-24,07-12-24,Standard Shipping,1,1,5,1394.22,97.6,1496.82
ORD-0000201,12,2934,28-08-24,04-09-24,Standard Shipping,1,1,5,362.96,25.41,393.37
ORD-0000202,18,127,29-11-24,02-12-24,Express Shipping,2,1,15,171.74,12.02,198.76
ORD-0000203,29,275,24-07-23,24-07-23,Pickup,3,1,0,697,48.79,745.79
ORD-0000204,27,923,16-07-24,23-07-24,Standard Shipping,1,1,5,656.3,45.94,707.24
ORD-0000205,18,3334,01-08-24,08-08-24,Standard Shipping,1,2,5,187.79,13.15,205.94
ORD-0000206,11,1220,01-06-24,08-06-24,Standard Shipping,1,1,5,381.29,26.69,412.98
ORD-0000207,29,2706,18-05-24,25-05-24,Standard Shipping,1,1,5,252.39,17.67,275.06
ORD-0000208,21,1605,08-06-24,15-06-24,Standard Shipping,1,2,5,550.55,38.55,594.1
ORD-0000209,13,82,09-01-24,16-01-24,Standard Shipping,1,2,5,672.95,47.1,725.05
ORD-0000210,29,201,24-06-23,27-06-23,Express Shipping,2,1,15,1013.14,70.92,1099.06
ORD-0000211,19,3005,23-12-24,30-12-24,Standard Shipping,1,1,5,559.68,39.18,603.86
ORD-0000212,15,1347,28-03-23,04-04-23,Standard Shipping,1,1,5,475.06,33.26,513.32
ORD-0000213,20,440,26-10-23,02-11-23,Standard Shipping,1,1,5,17.08,1.2,23.28
ORD-0000214,25,1524,28-09-24,05-10-24,Standard Shipping,1,1,5,76.41,5.35,86.76
ORD-0000215,26,2437,19-02-23,26-02-23,Standard Shipping,1,2,5,340.57,23.84,369.41
ORD-0000216,22,3145,10-04-23,13-04-23,Express Shipping,2,1,15,623.43,43.64,682.07
ORD-0000217,30,1265,13-12-23,13-12-23,Pickup,3,2,0,1122.88,78.6,1201.48
ORD-0000218,7,395,23-07-23,30-07-23,Standard Shipping,1,1,5,1030.33,72.12,1107.45
ORD-0000219,5,837,14-08-24,21-08-24,Standard Shipping,1,1,5,737.43,51.62,794.05
ORD-0000220,19,2990,22-02-24,29-02-24,Standard Shipping,1,1,5,541.99,37.93,584.92
ORD-0000221,13,3218,15-04-23,22-04-23,Standard Shipping,1,1,5,853.88,59.76,918.64
ORD-0000222,3,39,21-01-23,24-01-23,Express Shipping,2,1,15,206.59,14.45,236.04
ORD-0000223,13,1187,09-10-23,16-10-23,Standard Shipping,1,2,5,378.8,26.52,410.32
ORD-0000224,29,114,23-12-23,26-12-23,Express Shipping,2,1,15,733.66,51.35,800.01
ORD-0000225,1,1630,08-03-23,15-03-23,Standard Shipping,1,2,5,327.87,22.95,355.82
ORD-0000226,16,199,06-03-24,13-03-24,Standard Shipping,1,1,5,506.28,35.44,546.72
ORD-0000227,13,933,15-10-23,15-10-23,Pickup,3,1,0,893.67,62.56,956.23
ORD-0000228,27,59,10-10-23,17-10-23,Standard Shipping,1,1,5,755.61,52.89,813.5
ORD-0000229,20,3100,25-11-23,25-11-23,Pickup,3,2,0,198.79,13.91,212.7
ORD-0000230,19,3071,19-09-24,26-09-24,Standard Shipping,1,2,5,533.26,37.33,575.59
ORD-0000231,11,2726,22-02-24,29-02-24,Standard Shipping,1,2,5,434.33,30.4,469.73
ORD-0000232,9,805,15-02-24,22-02-24,Standard Shipping,1,1,5,828.41,57.98,891.39
ORD-0000233,22,2159,16-05-23,23-05-23,Standard Shipping,1,1,5,672.78,47.09,724.87
ORD-0000234,23,1283,24-10-24,31-10-24,Standard Shipping,1,2,5,348.06,24.36,377.42
ORD-0000235,16,1904,21-06-24,28-06-24,Standard Shipping,1,2,5,452.41,31.67,489.08
ORD-0000236,8,1924,04-02-24,11-02-24,Standard Shipping,1,1,5,14.05,0.98,20.03
ORD-0000237,12,827,07-02-23,07-02-23,Pickup,3,2,0,446.05,31.22,477.27
ORD-0000238,7,2424,02-07-23,05-07-23,Express Shipping,2,1,15,15.73,1.1,31.83
ORD-0000239,4,713,26-06-23,03-07-23,Standard Shipping,1,1,5,344.67,24.13,373.8
ORD-0000240,24,241,07-10-24,14-10-24,Standard Shipping,1,1,5,686.68,48.07,739.75
ORD-0000241,15,2144,08-02-23,15-02-23,Standard Shipping,1,1,5,864.56,60.52,930.08
ORD-0000242,22,101,12-06-24,12-06-24,Pickup,3,2,0,39.78,2.78,42.56
ORD-0000243,19,3366,23-08-24,30-08-24,Standard Shipping,1,2,5,362.63,25.38,393.01
ORD-0000244,18,768,24-06-24,01-07-24,Standard Shipping,1,1,5,433.66,30.36,469.02
ORD-0000245,5,36,16-04-23,23-04-23,Standard Shipping,1,1,5,161.42,11.3,177.72
ORD-0000246,25,2475,22-10-23,22-10-23,Pickup,3,2,0,237.63,16.63,254.26
ORD-0000247,15,22,06-02-24,06-02-24,Pickup,3,2,0,465.01,32.55,497.56
ORD-0000248,16,866,23-05-24,30-05-24,Standard Shipping,1,2,5,250.29,17.52,272.81
ORD-0000249,16,1538,27-04-23,04-05-23,Standard Shipping,1,2,5,589.23,41.24,635.47
ORD-0000250,17,91,21-12-24,28-12-24,Standard Shipping,1,1,5,161.59,11.31,177.9
ORD-0000251,22,2959,19-08-24,26-08-24,Standard Shipping,1,2,5,334.3,23.4,362.7
ORD-0000252,13,691,30-06-23,07-07-23,Standard Shipping,1,2,5,613.69,42.96,661.65
ORD-0000253,28,1152,15-04-23,22-04-23,Standard Shipping,1,1,5,382.86,26.8,414.66
ORD-0000254,22,1773,09-12-23,12-12-23,Express Shipping,2,2,15,44.7,3.13,62.83
ORD-0000255,10,1388,07-05-23,14-05-23,Standard Shipping,1,2,5,150.21,10.51,165.72
ORD-0000256,14,1297,27-08-24,03-09-24,Standard Shipping,1,2,5,222.84,15.6,243.44
ORD-0000257,22,2777,12-12-24,19-12-24,Standard Shipping,1,2,5,51.51,3.61,60.12
ORD-0000258,6,1355,25-06-24,02-07-24,Standard Shipping,1,1,5,890.98,62.37,958.35
ORD-0000259,2,3255,31-08-23,03-09-23,Express Shipping,2,1,15,928.07,64.96,1008.03
ORD-0000260,28,3235,06-10-23,13-10-23,Standard Shipping,1,1,5,172.47,12.07,189.54
ORD-0000261,12,2085,24-05-23,31-05-23,Standard Shipping,1,1,5,686.17,48.03,739.2
ORD-0000262,11,2337,13-01-24,16-01-24,Express Shipping,2,2,15,299.78,20.98,335.76
ORD-0000263,23,2423,14-09-24,21-09-24,Standard Shipping,1,1,5,128.07,8.97,142.04
ORD-0000264,29,2266,24-03-24,31-03-24,Standard Shipping,1,1,5,188.6,13.2,206.8
ORD-0000265,10,610,06-08-23,13-08-23,Standard Shipping,1,2,5,348.39,24.38,377.77
ORD-0000266,27,3183,11-05-24,11-05-24,Pickup,3,1,0,85.15,5.96,91.11
ORD-0000267,27,1998,01-02-23,01-02-23,Pickup,3,2,0,278.22,19.48,297.7
ORD-0000268,6,265,28-11-23,05-12-23,Standard Shipping,1,2,5,686.03,48.02,739.05
ORD-0000269,4,2072,13-05-24,16-05-24,Express Shipping,2,1,15,406.1,28.43,449.53
ORD-0000270,28,3501,06-02-24,06-02-24,Pickup,3,1,0,281.98,19.74,301.72
ORD-0000271,23,619,24-11-23,27-11-23,Express Shipping,2,1,15,653.98,45.77,714.75
ORD-0000272,22,3282,05-05-23,05-05-23,Pickup,3,1,0,259.75,18.18,277.93
ORD-0000273,8,1964,29-12-24,05-01-25,Standard Shipping,1,2,5,376.41,26.35,407.76
ORD-0000274,28,776,09-08-24,12-08-24,Express Shipping,2,2,15,154.77,10.84,180.61
ORD-0000275,3,370,10-10-23,17-10-23,Standard Shipping,1,1,5,483.64,33.86,522.5
ORD-0000276,28,3357,25-04-23,28-04-23,Express Shipping,2,1,15,176.63,12.36,203.99
