ProductID,ProductName,Brand,SubCategoryID,UsageFrequency,UnitPrice,Rating,NumberOfReviews,ProductSize,SkinType,GenderTarget,PackagingType,MainIngredient,CrueltyFree2,CountryOfOrigin
19,Ultra Face Oil,Tarte,16,Weekly,65.13,2.9,2612,250ml,Sensitive,Male,Bottle,Hyaluronic Acid,0,Australia
20,Divine Lip Gloss,Glossier,17,Occasional,55.14,3.8,9593,150ml,Sensitive,Male,Stick,Salicylic Acid,0,France
21,Perfect Blush,Make Up For Ever,18,Monthly,35.33,3.4,4230,150ml,Normal,Unisex,Jar,Salicylic Acid,0,South Korea
22,Divine Foundation,Anastasia Beverly Hills,19,Daily,145.37,2.3,6045,50ml,Combination,Male,Jar,Retinol,1,France
23,Divine Cleanser,Fenty Beauty,4,Monthly,119.26,4.6,9425,100ml,Sensitive,Male,Compact,Hyaluronic Acid,0,Japan
24,Perfect Eyeliner,E.l.f.,2,Occasional,148.69,3.7,59,150ml,Combination,Unisex,Jar,Retinol,1,Australia
25,Super Serum,Hourglass,5,Weekly,96.3,3.2,7512,250ml,Normal,Male,Jar,Shea Butter,1,Australia
26,Divine Setting Spray,Pat McGrath Labs,3,Daily,105.54,4.9,1098,150ml,Dry,Female,Spray,Glycerin,0,Japan
27,Magic Eye Shadow,Laura Mercier,18,Occasional,34.06,3,4490,50ml,Oily,Unisex,Stick,Vitamin C,0,Japan
28,Ultra Exfoliator,Too Faced,15,Monthly,62.56,2.3,3254,30ml,Combination,Female,Bottle,Retinol,0,France
29,Magic Lip Liner,Perricone MD,7,Daily,120.23,1.6,3813,50ml,Oily,Male,Compact,Vitamin C,0,Germany
30,Super Makeup Remover,RMS Beauty,11,Monthly,62.98,3.3,1926,200ml,Dry,Female,Spray,Glycerin,1,UK
31,Perfect BB Cream,Sisley,6,Weekly,74.95,1.9,1270,250ml,Dry,Unisex,Stick,Salicylic Acid,1,France
32,Magic BB Cream,Juvia’s Place,3,Occasional,46.66,4.6,5398,200ml,Sensitive,Male,Spray,Glycerin,0,Italy
33,Super Lip Liner,ColourPop,6,Monthly,27.45,1.2,9692,50ml,Oily,Female,Bottle,Glycerin,1,Australia
34,Ultra Lip Gloss,Urban Decay,9,Daily,134.54,1,4973,100ml,Dry,Female,Spray,Hyaluronic Acid,0,France
35,Super Primer,Rare Beauty,3,Weekly,111.7,1.7,9892,150ml,Combination,Unisex,Compact,Retinol,1,USA
36,Super Cleanser,Fenty Beauty,2,Monthly,148.76,2.3,4487,30ml,Sensitive,Unisex,Spray,Vitamin C,0,USA
37,Divine Eyeliner,Fenty Beauty,9,Occasional,74.51,4.6,4884,30ml,Oily,Male,Stick,Glycerin,0,South Korea
38,Super Contour,Becca,14,Monthly,63.79,2,7155,30ml,Dry,Female,Jar,Vitamin C,1,France
39,Perfect Eyeliner,Patrick Ta,15,Daily,135.46,4,5148,250ml,Dry,Female,Bottle,Shea Butter,0,USA
40,Divine Cleanser,Shiseido,6,Weekly,74.45,4,69,30ml,Oily,Female,Spray,Shea Butter,0,Australia
41,Super Foundation,Rare Beauty,10,Monthly,25.46,2.8,6843,150ml,Dry,Male,Compact,Hyaluronic Acid,0,South Korea
42,Magic Makeup Remover,Kylie Cosmetics,19,Occasional,58.41,1.4,4149,200ml,Oily,Unisex,Jar,Salicylic Acid,0,UK
43,Perfect Face Mask,RMS Beauty,1,Weekly,142.53,2.5,734,100ml,Oily,Unisex,Compact,Glycerin,0,France
44,Perfect Contour,Pat McGrath Labs,20,Occasional,99.2,3.1,4405,30ml,Oily,Male,Tube,Aloe Vera,1,Japan
45,Divine CC Cream,Fenty Beauty,19,Occasional,132.98,1.4,7747,30ml,Dry,Unisex,Jar,Glycerin,1,South Korea
46,Perfect Lip Liner,Bite Beauty,17,Weekly,72.88,1.1,3358,30ml,Sensitive,Female,Compact,Shea Butter,0,Australia
47,Ultra Moisturizer,Hourglass,18,Daily,79.42,4.7,3975,100ml,Dry,Female,Bottle,Shea Butter,0,France
48,Magic Setting Spray,Drunk Elephant,14,Daily,70.15,3,786,200ml,Dry,Unisex,Tube,Shea Butter,1,Japan
49,Magic CC Cream,Urban Decay,18,Weekly,111.62,4.9,2705,50ml,Normal,Male,Compact,Retinol,0,South Korea
50,Divine Setting Spray,Laura Mercier,21,Monthly,45.83,2.1,6947,50ml,Oily,Female,Jar,Salicylic Acid,0,Japan
51,Super Exfoliator,Hourglass,22,Occasional,19.74,1.3,5980,150ml,Normal,Unisex,Spray,Salicylic Acid,0,South Korea
52,Perfect Eye Shadow,Laura Mercier,11,Weekly,112.67,3.3,1492,200ml,Dry,Unisex,Spray,Aloe Vera,1,Germany
53,Super Highlighter,Tarte,22,Occasional,148.7,3.5,5380,100ml,Normal,Unisex,Stick,Retinol,0,Australia
54,Ultra Serum,Anastasia Beverly Hills,10,Occasional,49.32,2.5,3274,250ml,Dry,Female,Bottle,Salicylic Acid,1,Australia
55,Ultra Cleanser,Laura Mercier,8,Weekly,42.84,1.1,4441,50ml,Sensitive,Male,Jar,Vitamin C,1,South Korea
56,Perfect Serum,E.l.f.,10,Occasional,133.56,1.3,7450,200ml,Normal,Male,Spray,Glycerin,0,Australia
57,Divine Cleanser,Becca,4,Occasional,49.67,1.9,8956,30ml,Oily,Female,Jar,Hyaluronic Acid,0,Germany
58,Divine Primer,Tarte,15,Occasional,31.81,3.1,6868,100ml,Sensitive,Male,Compact,Shea Butter,0,Japan
59,Super Eyeliner,E.l.f.,16,Occasional,28.72,2.6,4597,200ml,Sensitive,Unisex,Stick,Aloe Vera,0,Japan
60,Super Blush,Yves Saint Laurent,4,Weekly,110.51,4.2,2973,100ml,Normal,Male,Stick,Vitamin C,0,UK
61,Magic Primer,Bourjois,18,Occasional,142.17,3.9,8901,50ml,Oily,Unisex,Stick,Salicylic Acid,0,Italy
62,Perfect Mascara,Rare Beauty,22,Weekly,97.15,1.2,764,100ml,Normal,Female,Spray,Salicylic Acid,1,Australia
63,Ultra Concealer,Perricone MD,2,Daily,110.12,2.3,1532,200ml,Oily,Male,Compact,Shea Butter,0,Germany
64,Ultra Face Oil,Laura Mercier,22,Monthly,13.9,3.6,262,100ml,Dry,Male,Stick,Aloe Vera,1,USA
65,Magic Contour,Kylie Cosmetics,6,Occasional,107.38,4.9,5290,50ml,Normal,Male,Spray,Hyaluronic Acid,0,Australia
66,Magic Mascara,Bourjois,14,Daily,97.75,2.9,3341,30ml,Combination,Male,Compact,Vitamin C,0,UK
67,Super Eye Shadow,Bourjois,9,Daily,57.24,2.5,7063,30ml,Combination,Female,Jar,Hyaluronic Acid,1,Italy
68,Ultra Eyeliner,Glossier,23,Daily,94.09,2.5,9321,100ml,Oily,Unisex,Spray,Shea Butter,1,France
69,Super BB Cream,Bobby Brown,5,Occasional,22.93,4,8824,200ml,Dry,Unisex,Stick,Vitamin C,0,Germany
70,Perfect Concealer,Becca,12,Daily,38.7,3.5,1145,200ml,Oily,Male,Stick,Glycerin,1,UK
71,Magic Setting Spray,Farsali,23,Daily,103.44,4.5,7547,150ml,Combination,Female,Spray,Shea Butter,0,Germany
72,Divine Makeup Remover,Tatcha,18,Weekly,84.37,2.4,3721,200ml,Dry,Unisex,Stick,Shea Butter,1,France
73,Super Bronzer,Anastasia Beverly Hills,14,Weekly,143.23,4.8,2308,50ml,Normal,Unisex,Stick,Retinol,1,Italy
74,Magic Lipstick,RMS Beauty,6,Monthly,114.37,2.8,9401,30ml,Normal,Male,Bottle,Retinol,0,Italy
75,Divine Contour,Morphe,2,Monthly,108.92,3.6,8901,30ml,Combination,Unisex,Compact,Vitamin C,0,Italy
76,Ultra Blush,RMS Beauty,12,Occasional,15.36,1.5,2461,150ml,Combination,Female,Bottle,Aloe Vera,1,South Korea
77,Divine Setting Spray,RMS Beauty,6,Weekly,144.46,1.4,9314,30ml,Oily,Male,Stick,Hyaluronic Acid,0,UK
78,Divine Setting Spray,Huda Beauty,4,Occasional,53.25,3.6,6115,250ml,Sensitive,Male,Spray,Hyaluronic Acid,0,Germany
79,Ultra Makeup Remover,Pat McGrath Labs,20,Occasional,39.87,3,7793,200ml,Normal,Female,Spray,Hyaluronic Acid,1,France
80,Perfect Eyeliner,Sisley,20,Weekly,17.32,2.6,1402,100ml,Oily,Female,Bottle,Glycerin,0,Italy
81,Super Mascara,Too Faced,5,Weekly,104.76,3.3,1435,100ml,Combination,Male,Bottle,Hyaluronic Acid,0,UK
82,Magic Makeup Remover,Too Faced,1,Monthly,34.46,2,5485,150ml,Oily,Female,Jar,Retinol,1,Italy
83,Ultra Face Mask,Tatcha,5,Monthly,132.75,3.7,9541,50ml,Oily,Female,Stick,Aloe Vera,0,Italy
84,Perfect BB Cream,Fenty Beauty,14,Daily,86.04,4.2,7546,150ml,Sensitive,Female,Compact,Shea Butter,1,Germany
85,Perfect BB Cream,Natasha Denona,6,Occasional,15.83,3.5,7966,100ml,Oily,Female,Jar,Shea Butter,1,Italy
86,Magic Lipstick,Danessa Myricks,15,Monthly,15.17,3.3,9458,100ml,Sensitive,Female,Stick,Salicylic Acid,0,Australia
87,Divine Concealer,Perricone MD,16,Occasional,114.25,4.6,8534,150ml,Oily,Female,Tube,Vitamin C,1,France
88,Divine Exfoliator,Kylie Cosmetics,4,Occasional,72.78,3.9,1857,30ml,Oily,Female,Tube,Retinol,1,Germany
89,Super Contour,Rare Beauty,16,Occasional,114.03,1,9905,50ml,Normal,Female,Jar,Salicylic Acid,0,Japan
90,Divine Contour,Milk Makeup,19,Daily,105.93,1.7,5581,30ml,Dry,Male,Bottle,Vitamin C,0,UK
91,Ultra Foundation,Pat McGrath Labs,13,Weekly,40.89,3,7249,200ml,Dry,Female,Jar,Hyaluronic Acid,0,South Korea
92,Divine Face Mask,Clinique,18,Daily,141.48,3.7,9189,150ml,Normal,Unisex,Bottle,Shea Butter,1,Germany
93,Divine Concealer,Anastasia Beverly Hills,4,Monthly,109.61,1.7,506,250ml,Oily,Male,Tube,Glycerin,1,Italy
94,Super Exfoliator,Sisley,24,Weekly,78.62,2.7,4829,150ml,Normal,Male,Tube,Hyaluronic Acid,0,Germany
95,Divine BB Cream,KVD Beauty,23,Occasional,101.67,2.3,52,30ml,Oily,Unisex,Spray,Vitamin C,0,UK
96,Perfect Cleanser,Farsali,15,Monthly,85.31,1.3,8316,30ml,Combination,Unisex,Jar,Glycerin,0,UK
97,Divine Exfoliator,Clinique,2,Weekly,76.5,4.8,8962,150ml,Sensitive,Unisex,Stick,Shea Butter,0,Italy
98,Magic Contour,Natasha Denona,4,Daily,129.66,3.3,7110,150ml,Normal,Female,Spray,Hyaluronic Acid,0,Italy
99,Super Lipstick,Shiseido,10,Daily,42.77,4.9,6165,250ml,Combination,Male,Stick,Shea Butter,1,Japan
100,Magic Eyeliner,Milk Makeup,1,Occasional,97.68,1.3,7863,50ml,Oily,Female,Compact,Aloe Vera,1,Italy
101,Divine Setting Spray,Bobby Brown,1,Weekly,126.69,4.8,9525,200ml,Oily,Unisex,Compact,Vitamin C,1,France
102,Magic Highlighter,IT Cosmetics,23,Occasional,141.34,4.9,9617,200ml,Oily,Female,Jar,Aloe Vera,1,Japan
103,Ultra Eye Shadow,NARS,5,Monthly,136.12,4.6,5489,100ml,Normal,Female,Jar,Shea Butter,0,UK
104,Magic Primer,Clinique,1,Occasional,48.08,2.6,8445,200ml,Combination,Male,Stick,Shea Butter,0,Italy
105,Divine Lip Gloss,Rare Beauty,17,Occasional,149.9,4.3,6185,200ml,Normal,Female,Compact,Hyaluronic Acid,0,UK
106,Super Lip Liner,Becca,22,Monthly,89.22,2.5,8595,30ml,Dry,Female,Compact,Vitamin C,0,South Korea
107,Divine Cleanser,KVD Beauty,21,Monthly,41.47,4.3,108,30ml,Sensitive,Female,Tube,Shea Butter,0,South Korea
108,Super Face Mask,Shiseido,13,Daily,43.51,3.5,3246,50ml,Dry,Male,Compact,Glycerin,1,USA
109,Super Contour,NARS,3,Daily,70.22,1.4,6921,100ml,Dry,Female,Stick,Vitamin C,1,Germany
110,Ultra Serum,Patrick Ta,24,Weekly,108.06,3.5,1467,150ml,Oily,Male,Spray,Retinol,1,Germany
111,Super Primer,Danessa Myricks,16,Weekly,148.83,2.7,7034,50ml,Normal,Female,Spray,Aloe Vera,0,Australia
112,Divine Setting Spray,Natasha Denona,21,Weekly,22.51,3.6,8061,100ml,Normal,Male,Bottle,Hyaluronic Acid,1,France
113,Divine Mascara,Sisley,10,Occasional,107.14,2.8,5333,30ml,Oily,Unisex,Stick,Shea Butter,0,UK
114,Divine Lip Gloss,Laura Mercier,14,Occasional,93.49,1.7,1959,250ml,Sensitive,Female,Tube,Retinol,1,Australia
115,Super Blush,Sisley,17,Occasional,57.93,3.2,7353,30ml,Combination,Unisex,Spray,Retinol,0,Italy
116,Magic Serum,Huda Beauty,13,Occasional,129.56,3.7,7580,150ml,Normal,Male,Jar,Vitamin C,0,France
117,Ultra Lip Gloss,Charlotte Tilbury,18,Weekly,39.63,3.4,4162,50ml,Sensitive,Female,Compact,Salicylic Acid,1,USA
118,Divine Face Oil,Urban Decay,22,Occasional,71.49,2.8,770,50ml,Combination,Unisex,Tube,Shea Butter,1,Japan
119,Ultra Setting Spray,IT Cosmetics,13,Daily,62.75,3.1,2901,150ml,Sensitive,Female,Compact,Retinol,1,France
120,Ultra Lip Liner,Bobby Brown,17,Monthly,88.28,3.1,159,50ml,Sensitive,Unisex,Stick,Vitamin C,0,Japan
121,Magic Cleanser,NARS,17,Daily,94.71,3.9,5860,200ml,Combination,Female,Compact,Vitamin C,0,Germany
122,Magic Serum,Morphe,6,Occasional,63.46,4.2,2493,150ml,Oily,Unisex,Jar,Retinol,1,South Korea
123,Ultra BB Cream,KVD Beauty,2,Weekly,117.39,3.6,709,250ml,Combination,Male,Jar,Glycerin,0,USA
124,Magic Lipstick,Tatcha,9,Weekly,53.38,1.7,2607,50ml,Combination,Unisex,Jar,Shea Butter,1,Australia
125,Ultra Exfoliator,Bite Beauty,24,Daily,71.22,1.5,6782,150ml,Dry,Male,Stick,Hyaluronic Acid,1,South Korea
126,Divine Serum,Charlotte Tilbury,24,Monthly,26.05,4.4,8170,250ml,Combination,Male,Tube,Retinol,1,Italy
127,Perfect Concealer,Kiehl’s,15,Weekly,136.41,1.3,7205,200ml,Oily,Female,Bottle,Aloe Vera,0,South Korea
128,Super Powder,NARS,18,Daily,97.91,2.2,7774,200ml,Oily,Male,Stick,Aloe Vera,0,UK
129,Divine Mascara,Bourjois,21,Occasional,148.59,2,3949,250ml,Normal,Male,Bottle,Retinol,1,Italy
130,Ultra Face Oil,Tarte,5,Daily,22.49,3.5,9078,30ml,Sensitive,Male,Compact,Retinol,0,Italy
131,Perfect Lipstick,Bourjois,10,Weekly,83.7,1.5,7243,30ml,Oily,Unisex,Tube,Salicylic Acid,1,Australia
132,Divine Primer,Bite Beauty,11,Daily,145.44,2.1,2793,150ml,Sensitive,Unisex,Jar,Glycerin,1,Japan
133,Super Contour,Sisley,10,Occasional,128.12,2.9,2377,250ml,Combination,Unisex,Spray,Hyaluronic Acid,0,Japan
134,Magic Eye Shadow,Fenty Beauty,20,Monthly,122.23,2.4,5600,30ml,Combination,Female,Bottle,Shea Butter,0,South Korea
135,Divine Highlighter,Farsali,24,Weekly,119.67,4.4,9166,150ml,Sensitive,Male,Tube,Retinol,1,Italy
136,Ultra Powder,Clinique,5,Occasional,92.43,1.7,2230,250ml,Combination,Male,Jar,Vitamin C,0,Australia
137,Ultra Powder,IT Cosmetics,22,Monthly,69.14,4.6,6584,200ml,Combination,Male,Spray,Hyaluronic Acid,1,USA
138,Ultra Powder,Bite Beauty,7,Monthly,29.6,3.4,8832,50ml,Sensitive,Female,Jar,Glycerin,0,Japan
139,Divine Primer,ColourPop,8,Daily,67.61,2.4,425,250ml,Sensitive,Male,Spray,Retinol,1,USA
140,Perfect Cleanser,Juvia’s Place,24,Daily,86.18,4.9,3436,150ml,Normal,Female,Spray,Glycerin,0,Australia
141,Super Makeup Remover,Milk Makeup,18,Daily,55.52,1.2,5117,100ml,Dry,Male,Tube,Glycerin,1,USA
142,Perfect Setting Spray,Pat McGrath Labs,3,Weekly,142.14,3.3,4548,150ml,Normal,Female,Compact,Shea Butter,0,Germany
143,Magic Eyeliner,Shiseido,8,Weekly,149.16,4.4,6158,50ml,Sensitive,Female,Jar,Shea Butter,1,USA
144,Divine Cleanser,Sisley,14,Occasional,52.89,3,9595,150ml,Sensitive,Female,Stick,Aloe Vera,0,Australia
145,Ultra Powder,Patrick Ta,14,Weekly,94.96,1,9200,30ml,Combination,Unisex,Stick,Retinol,1,Australia
146,Divine Lip Gloss,Farsali,17,Monthly,143.49,2.6,8066,100ml,Sensitive,Male,Stick,Vitamin C,1,UK
147,Perfect Lip Liner,Huda Beauty,7,Weekly,62.28,3.7,7809,150ml,Dry,Male,Jar,Glycerin,0,UK
148,Perfect Eye Shadow,Natasha Denona,8,Daily,149.85,1.8,7547,200ml,Combination,Female,Bottle,Shea Butter,1,USA
149,Super Lip Gloss,Patrick Ta,15,Weekly,83.63,4.8,3968,30ml,Sensitive,Male,Spray,Aloe Vera,0,UK
150,Divine Highlighter,Bourjois,19,Occasional,51.65,2.1,3815,250ml,Dry,Female,Bottle,Shea Butter,1,Australia
151,Magic Makeup Remover,Too Faced,2,Monthly,65.46,2.5,1441,200ml,Oily,Male,Jar,Aloe Vera,0,USA
152,Perfect Cleanser,Ilia Beauty,24,Occasional,47.92,3.9,8471,100ml,Normal,Female,Compact,Aloe Vera,1,Italy
153,Ultra Highlighter,Shiseido,16,Daily,71.25,4,5749,150ml,Oily,Female,Bottle,Shea Butter,0,France
154,Ultra Lipstick,NARS,6,Monthly,73.09,4.8,1574,30ml,Dry,Unisex,Spray,Vitamin C,1,Germany
155,Super Setting Spray,Farsali,22,Weekly,45.01,4.3,7285,150ml,Dry,Female,Jar,Aloe Vera,0,UK
156,Magic Powder,Kylie Cosmetics,19,Daily,127.22,3.1,9065,200ml,Combination,Female,Spray,Hyaluronic Acid,0,Japan
157,Perfect Setting Spray,Sisley,4,Occasional,62.17,4.9,4328,50ml,Dry,Unisex,Jar,Glycerin,0,Germany
158,Perfect Moisturizer,Rare Beauty,9,Daily,46.09,2.4,7298,250ml,Dry,Unisex,Tube,Retinol,0,USA
159,Super Cleanser,Becca,6,Daily,132.84,2.1,4276,50ml,Dry,Unisex,Bottle,Hyaluronic Acid,1,France
160,Perfect Contour,Farsali,14,Occasional,70.92,2,5971,200ml,Dry,Unisex,Tube,Glycerin,1,France
161,Divine Setting Spray,Bite Beauty,20,Daily,46.21,4.5,8829,50ml,Dry,Female,Spray,Hyaluronic Acid,1,Germany
162,Super Setting Spray,Ilia Beauty,8,Occasional,73.99,2.2,7777,150ml,Normal,Unisex,Jar,Shea Butter,1,Japan
163,Magic Lip Gloss,Kylie Cosmetics,1,Occasional,47.86,1.4,7664,50ml,Normal,Female,Bottle,Vitamin C,1,South Korea
164,Perfect Highlighter,Milk Makeup,16,Daily,103.84,3.3,1206,200ml,Oily,Female,Stick,Hyaluronic Acid,0,USA
165,Perfect Concealer,Juvia’s Place,24,Monthly,40.17,2.1,6895,150ml,Combination,Female,Tube,Salicylic Acid,1,Australia
166,Magic Lip Liner,RMS Beauty,18,Monthly,43.28,3.4,1567,30ml,Normal,Female,Bottle,Vitamin C,1,Australia
167,Magic Powder,Becca,10,Occasional,108.74,4,5921,30ml,Sensitive,Female,Stick,Aloe Vera,0,UK
168,Ultra Lip Gloss,Kiehl’s,9,Weekly,78.36,1.9,3534,30ml,Normal,Male,Tube,Aloe Vera,0,USA
169,Ultra Exfoliator,Laura Mercier,2,Daily,46.74,1.2,6838,200ml,Sensitive,Female,Jar,Shea Butter,1,USA
170,Super BB Cream,RMS Beauty,24,Weekly,97.76,1.9,7701,150ml,Combination,Male,Spray,Glycerin,1,Germany
171,Super Eyeliner,Charlotte Tilbury,10,Weekly,137.54,1.9,2124,50ml,Combination,Male,Bottle,Glycerin,1,Australia
172,Ultra Lip Liner,Morphe,16,Occasional,92.26,1.3,9864,200ml,Dry,Female,Bottle,Hyaluronic Acid,1,USA
173,Divine Concealer,Tarte,12,Monthly,79.18,1,7201,150ml,Combination,Unisex,Compact,Salicylic Acid,0,Italy
174,Perfect Mascara,ColourPop,1,Weekly,83.29,2.3,4336,150ml,Dry,Unisex,Compact,Salicylic Acid,0,Japan
175,Ultra Primer,Becca,5,Monthly,64.4,4,6745,50ml,Dry,Male,Bottle,Hyaluronic Acid,1,USA
176,Perfect Exfoliator,E.l.f.,17,Monthly,133.83,2.5,2589,100ml,Dry,Male,Jar,Shea Butter,0,USA
177,Ultra Eyeliner,Bobby Brown,11,Monthly,11.24,3.1,8830,50ml,Sensitive,Female,Spray,Glycerin,0,UK
178,Super Eye Shadow,Patrick Ta,19,Daily,23.43,4.8,5322,250ml,Dry,Unisex,Spray,Salicylic Acid,0,UK
179,Magic Mascara,Urban Decay,21,Weekly,57.18,2.1,1421,100ml,Oily,Unisex,Stick,Glycerin,1,UK
180,Divine Primer,Kiehl’s,20,Weekly,102.88,4.6,9311,50ml,Oily,Male,Stick,Hyaluronic Acid,0,USA
181,Perfect Concealer,Becca,6,Monthly,142.44,4.2,451,100ml,Combination,Male,Spray,Hyaluronic Acid,0,USA
182,Perfect Lip Liner,Laura Mercier,10,Monthly,39.89,4.6,3914,200ml,Normal,Male,Stick,Aloe Vera,0,South Korea
183,Super Exfoliator,Drunk Elephant,23,Monthly,23.98,1.5,8320,150ml,Combination,Female,Compact,Salicylic Acid,0,Japan
184,Super Eyeliner,KVD Beauty,4,Occasional,112.59,4.7,7668,200ml,Oily,Female,Bottle,Vitamin C,0,Italy
185,Super Makeup Remover,Anastasia Beverly Hills,22,Daily,148.49,1.1,3368,100ml,Dry,Unisex,Spray,Retinol,0,France
186,Perfect Eye Shadow,Glossier,21,Monthly,33.77,4.3,442,30ml,Combination,Unisex,Jar,Shea Butter,1,South Korea
187,Ultra Cleanser,Ilia Beauty,17,Daily,27.29,3.5,6783,30ml,Oily,Unisex,Tube,Hyaluronic Acid,0,France
188,Perfect Lip Liner,Charlotte Tilbury,17,Monthly,147.41,4.5,2448,30ml,Oily,Female,Stick,Retinol,1,France
189,Magic Setting Spray,Huda Beauty,15,Occasional,45.24,1.6,9014,150ml,Sensitive,Female,Tube,Vitamin C,0,Australia
190,Perfect Mascara,Perricone MD,18,Daily,13.42,1.3,6389,50ml,Sensitive,Female,Jar,Glycerin,1,Australia
191,Magic Serum,Tatcha,21,Occasional,44.25,3.6,7779,200ml,Sensitive,Male,Jar,Shea Butter,0,Japan
192,Magic Highlighter,Too Faced,17,Weekly,100.75,2,270,250ml,Sensitive,Female,Bottle,Salicylic Acid,1,South Korea
193,Divine Moisturizer,E.l.f.,3,Weekly,40.73,2.9,4891,200ml,Dry,Female,Compact,Shea Butter,1,Italy
194,Magic Contour,Juvia’s Place,3,Daily,82.79,2.2,2172,30ml,Normal,Female,Bottle,Salicylic Acid,0,Australia
195,Super Concealer,Milk Makeup,10,Occasional,129.35,4.8,2964,100ml,Combination,Unisex,Tube,Shea Butter,1,UK
196,Magic Lipstick,RMS Beauty,19,Weekly,76.05,1.4,9536,200ml,Normal,Unisex,Compact,Hyaluronic Acid,0,Australia
197,Divine CC Cream,Bobby Brown,14,Daily,123.79,2,8183,250ml,Sensitive,Unisex,Stick,Salicylic Acid,1,Italy
198,Ultra Lipstick,Bobby Brown,24,Daily,113.13,3.6,138,200ml,Sensitive,Female,Jar,Retinol,1,Germany
199,Perfect Setting Spray,Pat McGrath Labs,3,Weekly,27.41,1.6,6213,100ml,Oily,Male,Jar,Salicylic Acid,0,USA
200,Ultra Eyeliner,Huda Beauty,11,Weekly,89.35,2.1,7837,100ml,Oily,Female,Bottle,Vitamin C,0,Australia
201,Magic Face Oil,Laura Mercier,17,Daily,108.45,4.9,7641,200ml,Sensitive,Female,Spray,Salicylic Acid,0,Australia
202,Ultra CC Cream,Bite Beauty,2,Daily,55.75,3.6,6536,100ml,Dry,Male,Stick,Salicylic Acid,0,Italy
203,Super Face Oil,KVD Beauty,15,Weekly,148.58,2.8,93,250ml,Normal,Unisex,Jar,Glycerin,0,France
204,Ultra Blush,Kiehl’s,18,Weekly,115.69,2.2,4621,150ml,Oily,Unisex,Stick,Hyaluronic Acid,1,USA
205,Super Face Mask,Too Faced,10,Occasional,71.83,1.8,870,200ml,Oily,Male,Tube,Hyaluronic Acid,1,France
206,Divine Cleanser,KVD Beauty,22,Weekly,48.37,2.8,5551,250ml,Combination,Female,Stick,Hyaluronic Acid,1,UK
207,Super Highlighter,Rare Beauty,21,Monthly,130.52,1.3,662,250ml,Combination,Female,Spray,Vitamin C,1,South Korea
208,Perfect Mascara,Perricone MD,14,Monthly,24.44,2.6,5826,200ml,Dry,Unisex,Spray,Vitamin C,0,South Korea
209,Ultra Eyeliner,Kiehl’s,7,Monthly,136.35,2.1,9142,250ml,Normal,Unisex,Jar,Aloe Vera,0,Germany
210,Super Face Oil,Kiehl’s,7,Monthly,21.42,4.3,461,50ml,Combination,Unisex,Stick,Salicylic Acid,0,Italy
211,Divine Primer,Hourglass,17,Daily,18.3,1.5,7630,250ml,Combination,Unisex,Compact,Retinol,1,Italy
